,UniProt ID,Nb_interactions,Gene Name,Name
190,Q01668,27,CACNA1D,Voltage-dependent L-type calcium channel subunit alpha-1D
194,Q13698,27,CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S
198,P69905,27,HBA1,Hemoglobin subunit alpha
199,P68400,26,CSNK2A1,Casein kinase II subunit alpha
200,P21397,26,MAOA,Amine oxidase [flavin-containing] A
202,Q12879,26,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A"
205,P29475,25,NOS1,"Nitric oxide synthase, brain"
206,Q08499,25,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
209,Q02127,25,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
210,P09211,25,GSTP1,Glutathione S-transferase P
211,O15399,24,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D"
214,P49841,24,GSK3B,Glycogen synthase kinase-3 beta
215,O60391,24,GRIN3B,"Glutamate receptor ionotropic, NMDA 3B"
218,Q15822,24,CHRNA2,Neuronal acetylcholine receptor subunit alpha-2
219,P05023,24,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1
220,P01857,24,IGHG1,Ig gamma-1 chain C region
221,P11309,23,PIM1,Serine/threonine-protein kinase pim-1
222,Q03181,23,PPARD,Peroxisome proliferator-activated receptor delta
223,Q08289,23,CACNB2,Voltage-dependent L-type calcium channel subunit beta-2
227,Q14957,23,GRIN2C,"Glutamate receptor ionotropic, NMDA 2C"
230,P01375,22,TNF,Tumor necrosis factor
231,P08183,22,ABCB1,Multidrug resistance protein 1
232,P08254,22,MMP3,Stromelysin-1
233,P23415,22,GLRA1,Glycine receptor subunit alpha-1
236,Q13002,22,GRIK2,"Glutamate receptor ionotropic, kainate 2"
238,P00533,21,EGFR,Epidermal growth factor receptor
239,Q05940,21,SLC18A2,Synaptic vesicular amine transporter
240,P00491,21,PNP,Purine nucleoside phosphorylase
241,P12821,21,ACE,Angiotensin-converting enzyme
242,P09874,21,PARP1,Poly [ADP-ribose] polymerase 1
243,P19793,21,RXRA,Retinoic acid receptor RXR-alpha
244,P09917,21,ALOX5,Arachidonate 5-lipoxygenase
245,P08235,21,NR3C2,Mineralocorticoid receptor
246,P09960,21,LTA4H,Leukotriene A-4 hydrolase
247,P04818,21,TYMS,Thymidylate synthase
248,Q15788,21,NCOA1,Nuclear receptor coactivator 1
249,P43235,20,CTSK,Cathepsin K
250,P11473,20,VDR,Vitamin D3 receptor
251,Q02641,20,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1
255,Q99250,20,SCN2A,Sodium channel protein type 2 subunit alpha
258,P00797,20,REN,Renin
259,O95180,19,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H
262,P25021,19,HRH2,Histamine H2 receptor
263,P35498,19,SCN1A,Sodium channel protein type 1 subunit alpha
266,P53779,18,MAPK10,Mitogen-activated protein kinase 10
267,P28482,18,MAPK1,Mitogen-activated protein kinase 1
269,P68871,18,HBB,Hemoglobin subunit beta
270,P28845,18,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1
271,O60840,18,CACNA1F,Voltage-dependent L-type calcium channel subunit alpha-1F
275,P27815,18,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
277,P35869,18,AHR,Aryl hydrocarbon receptor
278,Q9BY41,18,HDAC8,Histone deacetylase 8
280,P30542,18,ADORA1,Adenosine receptor A1
281,P00326,18,ADH1C,Alcohol dehydrogenase 1C
282,P50579,18,METAP2,Methionine aminopeptidase 2
283,P29274,17,ADORA2A,Adenosine receptor A2a
284,P23141,17,CES1,Liver carboxylesterase 1
285,O76074,17,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase"
288,P30939,17,HTR1F,5-hydroxytryptamine receptor 1F
291,Q13639,17,HTR4,5-hydroxytryptamine receptor 4
293,Q9UNI1,17,CELA1,Chymotrypsin-like elastase family member 1
294,P24046,17,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1
295,P05067,17,APP,Amyloid beta A4 protein
296,P00519,17,ABL1,Tyrosine-protein kinase ABL1
297,P35499,17,SCN4A,Sodium channel protein type 4 subunit alpha
300,P04035,17,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase
301,P10721,16,KIT,Mast/stem cell growth factor receptor Kit
302,Q15858,16,SCN9A,Sodium channel protein type 9 subunit alpha
305,O43497,16,CACNA1G,Voltage-dependent T-type calcium channel subunit alpha-1G
308,P06239,16,LCK,Tyrosine-protein kinase Lck
309,P08581,16,MET,Hepatocyte growth factor receptor
310,Q8NER1,16,TRPV1,Transient receptor potential cation channel subfamily V member 1
311,P54289,16,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1
313,P00813,16,ADA,Adenosine deaminase
314,Q92769,16,HDAC2,Histone deacetylase 2
316,P62942,16,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A
317,P60174,16,TPI1,Triosephosphate isomerase
318,Q9P0X4,16,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I
321,P02787,16,TF,Serotransferrin
322,P17787,16,CHRNB2,Neuronal acetylcholine receptor subunit beta-2
323,P22748,16,CA4,Carbonic anhydrase 4
324,Q9NY46,16,SCN3A,Sodium channel protein type 3 subunit alpha
327,P28566,16,HTR1E,5-hydroxytryptamine receptor 1E
330,Q9NZK7,15,PLA2G2E,Group IIE secretory phospholipase A2
331,P08238,15,HSP90AB1,Heat shock protein HSP 90-beta
332,P14555,15,PLA2G2A,"Phospholipase A2, membrane associated"
333,Q99720,15,SIGMAR1,Sigma non-opioid intracellular receptor 1
335,P30968,15,GNRHR,Gonadotropin-releasing hormone receptor
336,A8MPY1,15,GABRR3,Gamma-aminobutyric acid receptor subunit rho-3
337,P48736,15,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"
338,P62508,15,ESRRG,Estrogen-related receptor gamma
339,P28702,15,RXRB,Retinoic acid receptor RXR-beta
340,P00390,15,GSR,"Glutathione reductase, mitochondrial"
341,P13631,15,RARG,Retinoic acid receptor gamma
342,P54284,15,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3
346,P39900,15,MMP12,Macrophage metalloelastase
347,O14965,15,AURKA,Aurora kinase A
348,P15531,15,NME1,Nucleoside diphosphate kinase A
349,P32297,15,CHRNA3,Neuronal acetylcholine receptor subunit alpha-3
350,P02144,15,MB,Myoglobin
351,O00305,15,CACNB4,Voltage-dependent L-type calcium channel subunit beta-4
355,P22894,15,MMP8,Neutrophil collagenase
356,P17538,15,CTRB1,Chymotrypsinogen B
357,P28476,15,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2
358,P01834,14,IGKC,Ig kappa chain C region
359,O15530,14,PDPK1,3-phosphoinositide-dependent protein kinase 1
360,Q14994,14,NR1I3,Nuclear receptor subfamily 1 group I member 3
361,P06737,14,PYGL,"Glycogen phosphorylase, liver form"
362,P36888,14,FLT3,Receptor-type tyrosine-protein kinase FLT3
363,P45452,14,MMP13,Collagenase 3
364,P61626,14,LYZ,Lysozyme C
365,O00555,14,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
369,Q9UQD0,14,SCN8A,Sodium channel protein type 8 subunit alpha
372,P30556,14,AGTR1,Type-1 angiotensin II receptor
373,P11086,14,PNMT,Phenylethanolamine N-methyltransferase
374,Q9UI33,14,SCN11A,Sodium channel protein type 11 subunit alpha
377,P17948,14,FLT1,Vascular endothelial growth factor receptor 1
378,P07858,14,CTSB,Cathepsin B
379,P68133,13,ACTA1,"Actin, alpha skeletal muscle"
380,O95749,13,GGPS1,Geranylgeranyl pyrophosphate synthase
381,P04054,13,PLA2G1B,Phospholipase A2
382,P04083,13,ANXA1,Annexin A1
383,P11387,13,TOP1,DNA topoisomerase 1
384,P25774,13,CTSS,Cathepsin S
385,P42574,13,CASP3,Caspase-3
386,P16083,13,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone]
387,P07451,13,CA3,Carbonic anhydrase 3
388,P16442,13,ABO,Histo-blood group ABO system transferase
389,P15085,13,CPA1,Carboxypeptidase A1
390,O60760,13,HPGDS,Hematopoietic prostaglandin D synthase
391,P14780,13,MMP9,Matrix metalloproteinase-9
392,P09619,13,PDGFRB,Platelet-derived growth factor receptor beta
393,P08100,13,RHO,Rhodopsin
394,P42261,13,GRIA1,Glutamate receptor 1
395,P13569,13,CFTR,Cystic fibrosis transmembrane conductance regulator
396,Q09428,13,ABCC8,ATP-binding cassette sub-family C member 8
398,P10828,13,THRB,Thyroid hormone receptor beta
399,P05089,13,ARG1,Arginase-1
400,Q14432,13,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
402,P10415,13,BCL2,Apoptosis regulator Bcl-2
403,P04746,13,AMY2A,Pancreatic alpha-amylase
404,Q9Y233,12,PDE10A,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
406,P15559,12,NQO1,NAD(P)H dehydrogenase [quinone] 1
407,P30536,12,TSPO,Translocator protein
408,P25103,12,TACR1,Substance-P receptor
409,P25101,12,EDNRA,Endothelin-1 receptor
410,P07437,12,TUBB,Tubulin beta chain
411,P14324,12,FDPS,Farnesyl pyrophosphate synthase
412,Q13547,12,HDAC1,Histone deacetylase 1
414,P52732,12,KIF11,Kinesin-like protein KIF11
415,Q01118,12,SCN7A,Sodium channel protein type 7 subunit alpha
417,Q12791,11,KCNMA1,Calcium-activated potassium channel subunit alpha-1
419,P08473,11,MME,Neprilysin
420,Q13621,11,SLC12A1,Solute carrier family 12 member 1
421,P35916,11,FLT4,Vascular endothelial growth factor receptor 3
422,P08709,11,F7,Coagulation factor VII
423,P11362,11,FGFR1,Fibroblast growth factor receptor 1
424,P49354,11,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
425,P09467,11,FBP1,"Fructose-1,6-bisphosphatase 1"
426,P00450,11,CP,Ceruloplasmin
427,Q14654,11,KCNJ11,ATP-sensitive inward rectifier potassium channel 11
431,Q00975,11,CACNA1B,Voltage-dependent N-type calcium channel subunit alpha-1B
434,P21964,11,COMT,Catechol O-methyltransferase
435,P54760,11,EPHB4,Ephrin type-B receptor 4
436,Q96RI1,11,NR1H4,Bile acid receptor
437,P16234,11,PDGFRA,Platelet-derived growth factor receptor alpha
438,O60674,11,JAK2,Tyrosine-protein kinase JAK2
439,P55017,10,SLC12A3,Solute carrier family 12 member 3
440,P02768,10,ALB,Serum albumin
441,P48443,10,RXRG,Retinoic acid receptor RXR-gamma
442,P60568,10,IL2,Interleukin-2
443,P14060,10,HSD3B1,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
444,P42263,10,GRIA3,Glutamate receptor 3
445,P21802,10,FGFR2,Fibroblast growth factor receptor 2
446,P06744,10,GPI,Glucose-6-phosphate isomerase
447,Q02750,10,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1
448,P80365,10,HSD11B2,Corticosteroid 11-beta-dehydrogenase isozyme 2
449,Q9H3N8,10,HRH4,Histamine H4 receptor
450,P11511,10,CYP19A1,Aromatase
451,Q9GZT9,10,EGLN1,Egl nine homolog 1
452,P00441,10,SOD1,Superoxide dismutase [Cu-Zn]
453,Q09470,10,KCNA1,Potassium voltage-gated channel subfamily A member 1
454,Q12882,10,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)]
455,P15056,10,BRAF,Serine/threonine-protein kinase B-raf
456,P20701,10,ITGAL,Integrin alpha-L
457,Q06432,10,CACNG1,Voltage-dependent calcium channel gamma-1 subunit
459,P49356,10,FNTB,Protein farnesyltransferase subunit beta
460,P17252,10,PRKCA,Protein kinase C alpha type
462,Q9NY47,10,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2
464,P11926,9,ODC1,Ornithine decarboxylase
465,P10826,9,RARB,Retinoic acid receptor beta
466,P19961,9,AMY2B,Alpha-amylase 2B
467,P19838,9,NFKB1,Nuclear factor NF-kappa-B p105 subunit
470,Q16706,9,MAN2A1,Alpha-mannosidase 2
471,P04626,9,ERBB2,Receptor tyrosine-protein kinase erbB-2
472,Q08493,9,PDE4C,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"
474,P15692,9,VEGFA,Vascular endothelial growth factor A
475,P04271,9,S100B,Protein S100-B
476,P08574,9,CYC1,"Cytochrome c1, heme protein, mitochondrial"
477,P14625,9,HSP90B1,Endoplasmin
478,P08758,9,ANXA5,Annexin A5
479,P10276,9,RARA,Retinoic acid receptor alpha
480,P06746,9,POLB,DNA polymerase beta
481,P01584,9,IL1B,Interleukin-1 beta
482,P05230,9,FGF1,Fibroblast growth factor 1
483,P06493,9,CDK1,Cyclin-dependent kinase 1
484,P14061,9,HSD17B1,Estradiol 17-beta-dehydrogenase 1
485,P09848,9,LCT,Lactase-phlorizin hydrolase
486,P14174,9,MIF,Macrophage migration inhibitory factor
487,P14927,9,UQCRB,Cytochrome b-c1 complex subunit 7
488,P07949,9,RET,Proto-oncogene tyrosine-protein kinase receptor Ret
489,P09601,9,HMOX1,Heme oxygenase 1
490,Q02880,9,TOP2B,DNA topoisomerase 2-beta
492,P01859,9,IGHG2,Ig gamma-2 chain C region
493,P47985,9,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial"
494,Q9Y5Y4,9,PTGDR2,Prostaglandin D2 receptor 2
495,P47989,9,XDH,Xanthine dehydrogenase/oxidase
496,Q9UJM8,9,HAO1,Hydroxyacid oxidase 1
497,O95264,9,HTR3B,5-hydroxytryptamine receptor 3B
499,Q9H4B7,9,TUBB1,Tubulin beta-1 chain
500,P31749,9,AKT1,RAC-alpha serine/threonine-protein kinase
501,Q9H244,9,P2RY12,P2Y purinoceptor 12
502,Q9UBS5,9,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1
503,O00206,9,TLR4,Toll-like receptor 4
504,P34913,9,EPHX2,Bifunctional epoxide hydrolase 2
505,Q9UDW1,9,UQCR10,Cytochrome b-c1 complex subunit 9
506,P31930,9,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial"
507,P00156,9,MT-CYB,Cytochrome b
508,Q9GZZ6,9,CHRNA10,Neuronal acetylcholine receptor subunit alpha-10
509,P48048,9,KCNJ1,ATP-sensitive inward rectifier potassium channel 1
511,P34995,8,PTGER1,Prostaglandin E2 receptor EP1 subtype
512,Q99527,8,GPER1,G-protein coupled estrogen receptor 1
513,P78536,8,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17
514,P10827,8,THRA,Thyroid hormone receptor alpha
515,P07478,8,PRSS2,Trypsin-2
516,P16152,8,CBR1,Carbonyl reductase [NADPH] 1
517,P35030,8,PRSS3,Trypsin-3
518,P07919,8,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial"
519,Q9UBX1,8,CTSF,Cathepsin F
520,P08263,8,GSTA1,Glutathione S-transferase A1
521,Q16678,8,CYP1B1,Cytochrome P450 1B1
522,P02786,8,TFRC,Transferrin receptor protein 1
523,P80404,8,ABAT,"4-aminobutyrate aminotransferase, mitochondrial"
524,P31939,8,ATIC,Bifunctional purine biosynthesis protein PURH
525,Q71U36,8,TUBA1A,Tubulin alpha-1A chain
526,Q04828,8,AKR1C1,Aldo-keto reductase family 1 member C1
527,P21554,8,CNR1,Cannabinoid receptor 1
528,Q04760,8,GLO1,Lactoylglutathione lyase
529,P03951,8,F11,Coagulation factor XI
530,O75311,8,GLRA3,Glycine receptor subunit alpha-3
532,Q86XF0,8,DHFRL1,"Dihydrofolate reductase, mitochondrial"
533,P19652,8,ORM2,Alpha-1-acid glycoprotein 2
535,O75762,8,TRPA1,Transient receptor potential cation channel subfamily A member 1
536,P30926,8,CHRNB4,Neuronal acetylcholine receptor subunit beta-4
537,P30874,8,SSTR2,Somatostatin receptor type 2
538,P04075,8,ALDOA,Fructose-bisphosphate aldolase A
539,Q8N142,8,ADSSL1,Adenylosuccinate synthetase isozyme 1
540,P30291,8,WEE1,Wee1-like protein kinase
541,P22695,8,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial"
542,P15086,8,CPB1,Carboxypeptidase B
543,P00439,8,PAH,Phenylalanine-4-hydroxylase
544,Q9UM73,8,ALK,ALK tyrosine kinase receptor
545,P41180,8,CASR,Extracellular calcium-sensing receptor
546,O14920,8,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta
547,P23921,8,RRM1,Ribonucleoside-diphosphate reductase large subunit
548,Q96FI4,8,NEIL1,Endonuclease 8-like 1
549,P23919,8,DTYMK,Thymidylate kinase
550,Q15842,8,KCNJ8,ATP-sensitive inward rectifier potassium channel 8
553,P42330,8,AKR1C3,Aldo-keto reductase family 1 member C3
554,O14949,8,UQCRQ,Cytochrome b-c1 complex subunit 8
555,O14556,8,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific"
556,P23458,8,JAK1,Tyrosine-protein kinase JAK1
557,P14618,8,PKM,Pyruvate kinase PKM
558,P56524,8,HDAC4,Histone deacetylase 4
560,P13716,8,ALAD,Delta-aminolevulinic acid dehydratase
561,P12268,8,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2
563,P14920,8,DAO,D-amino-acid oxidase
564,P63316,8,TNNC1,"Troponin C, slow skeletal and cardiac muscles"
565,P37288,8,AVPR1A,Vasopressin V1a receptor
566,P46059,8,SLC15A1,Solute carrier family 15 member 1
567,P00325,8,ADH1B,Alcohol dehydrogenase 1B
568,O75340,7,PDCD6,Programmed cell death protein 6
569,P05771,7,PRKCB,Protein kinase C beta type
571,P04406,7,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase
572,A5X5Y0,7,HTR3E,5-hydroxytryptamine receptor 3E
574,P43405,7,SYK,Tyrosine-protein kinase SYK
575,P45983,7,MAPK8,Mitogen-activated protein kinase 8
576,P05231,7,IL6,Interleukin-6
577,O00329,7,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
578,O75390,7,CS,"Citrate synthase, mitochondrial"
579,P11226,7,MBL2,Mannose-binding protein C
580,P42345,7,MTOR,Serine/threonine-protein kinase mTOR
581,O00519,7,FAAH,Fatty-acid amide hydrolase 1
582,P05093,7,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase"
583,Q9Y271,7,CYSLTR1,Cysteinyl leukotriene receptor 1
584,P11474,7,ESRRA,Steroid hormone receptor ERR1
585,Q9UKQ2,7,ADAM28,Disintegrin and metalloproteinase domain-containing protein 28
586,P07202,7,TPO,Thyroid peroxidase
587,P48147,7,PREP,Prolyl endopeptidase
588,Q16881,7,TXNRD1,"Thioredoxin reductase 1, cytoplasmic"
589,O15382,7,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial"
590,P09038,7,FGF2,Fibroblast growth factor 2
591,P37059,7,HSD17B2,Estradiol 17-beta-dehydrogenase 2
592,P30518,7,AVPR2,Vasopressin V2 receptor
593,O15554,7,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4
595,P49137,7,MAPKAPK2,MAP kinase-activated protein kinase 2
596,P35346,7,SSTR5,Somatostatin receptor type 5
597,P14679,7,TYR,Tyrosinase
598,P48637,7,GSS,Glutathione synthetase
599,Q70Z44,7,HTR3D,5-hydroxytryptamine receptor 3D
601,P34972,7,CNR2,Cannabinoid receptor 2
602,P34896,7,SHMT1,"Serine hydroxymethyltransferase, cytosolic"
603,O14957,7,UQCR11,Cytochrome b-c1 complex subunit 10
604,P16455,7,MGMT,Methylated-DNA--protein-cysteine methyltransferase
605,P07333,7,CSF1R,Macrophage colony-stimulating factor 1 receptor
606,P48167,7,GLRB,Glycine receptor subunit beta
609,Q07699,7,SCN1B,Sodium channel subunit beta-1
611,P36897,7,TGFBR1,TGF-beta receptor type-1
612,P54577,7,YARS,"Tyrosine--tRNA ligase, cytoplasmic"
613,P01009,7,SERPINA1,Alpha-1-antitrypsin
614,P98194,7,ATP2C1,Calcium-transporting ATPase type 2C member 1
615,P02788,7,LTF,Lactotransferrin
616,P00338,7,LDHA,L-lactate dehydrogenase A chain
617,P27361,7,MAPK3,Mitogen-activated protein kinase 3
619,P84077,7,ARF1,ADP-ribosylation factor 1
620,P20839,7,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1
622,Q00535,7,CDK5,Cyclin-dependent-like kinase 5
623,P21549,7,AGXT,Serine--pyruvate aminotransferase
624,Q969S2,7,NEIL2,Endonuclease 8-like 2
625,Q8WXA8,7,HTR3C,5-hydroxytryptamine receptor 3C
627,P62937,7,PPIA,Peptidyl-prolyl cis-trans isomerase A
628,P00167,7,CYB5A,Cytochrome b5
629,P02743,7,APCS,Serum amyloid P-component
630,P02794,7,FTH1,Ferritin heavy chain
631,P99999,7,CYCS,Cytochrome c
632,Q96C86,7,DCPS,m7GpppX diphosphatase
633,Q99584,7,S100A13,Protein S100-A13
634,P03886,7,MT-ND1,NADH-ubiquinone oxidoreductase chain 1
635,P30043,7,BLVRB,Flavin reductase (NADPH)
636,P29466,7,CASP1,Caspase-1
637,P50440,6,GATM,"Glycine amidinotransferase, mitochondrial"
638,Q00653,6,NFKB2,Nuclear factor NF-kappa-B p100 subunit
641,P22607,6,FGFR3,Fibroblast growth factor receptor 3
642,P50135,6,HNMT,Histamine N-methyltransferase
643,P15291,6,B4GALT1,"Beta-1,4-galactosyltransferase 1"
